timestamp,datetime,pwm_right,vel_right
1757616574.1865766,2025-09-11 15:49:34.186,200,0.22
1757616574.2181373,2025-09-11 15:49:34.218,200,0.22
1757616574.2393916,2025-09-11 15:49:34.239,200,0.22
1757616574.2706842,2025-09-11 15:49:34.270,200,0.22
1757616574.3019636,2025-09-11 15:49:34.301,200,0.22
1757616574.3334863,2025-09-11 15:49:34.333,200,0.22
1757616574.354887,2025-09-11 15:49:34.354,200,0.22
1757616574.386492,2025-09-11 15:49:34.386,200,0.22
1757616574.4179416,2025-09-11 15:49:34.417,200,0.22
1757616574.4495103,2025-09-11 15:49:34.449,200,0.22
1757616574.4812682,2025-09-11 15:49:34.481,200,0.22
1757616574.5025456,2025-09-11 15:49:34.502,200,0.23
1757616574.5341306,2025-09-11 15:49:34.534,200,0.23
1757616574.565667,2025-09-11 15:49:34.565,200,0.23
1757616574.5972412,2025-09-11 15:49:34.597,200,0.23
1757616574.6187165,2025-09-11 15:49:34.618,200,0.22
1757616574.6501412,2025-09-11 15:49:34.650,200,0.22
1757616574.6817336,2025-09-11 15:49:34.681,200,0.22
1757616574.7133567,2025-09-11 15:49:34.713,200,0.22
1757616574.7449074,2025-09-11 15:49:34.744,200,0.22
1757616574.7663543,2025-09-11 15:49:34.766,200,0.22
1757616574.797949,2025-09-11 15:49:34.797,200,0.22
1757616574.829675,2025-09-11 15:49:34.829,200,0.22
1757616574.8613913,2025-09-11 15:49:34.861,200,0.23
1757616574.8827903,2025-09-11 15:49:34.882,200,0.23
1757616574.9144728,2025-09-11 15:49:34.914,200,0.23
1757616574.9458601,2025-09-11 15:49:34.945,200,0.23
1757616574.97747,2025-09-11 15:49:34.977,200,0.23
1757616575.0089486,2025-09-11 15:49:35.008,200,0.23
1757616575.0302196,2025-09-11 15:49:35.030,200,0.23
1757616575.0617309,2025-09-11 15:49:35.061,200,0.23
1757616575.0933115,2025-09-11 15:49:35.093,200,0.22
1757616575.1247962,2025-09-11 15:49:35.124,200,0.22
1757616575.1563823,2025-09-11 15:49:35.156,200,0.22
1757616575.1776562,2025-09-11 15:49:35.177,200,0.22
1757616575.2088895,2025-09-11 15:49:35.208,200,0.22
1757616575.2402923,2025-09-11 15:49:35.240,200,0.22
1757616575.271736,2025-09-11 15:49:35.271,200,0.22
1757616575.3031733,2025-09-11 15:49:35.303,200,0.22
1757616575.3244283,2025-09-11 15:49:35.324,200,0.22
1757616575.3559508,2025-09-11 15:49:35.355,200,0.22
1757616575.387566,2025-09-11 15:49:35.387,200,0.22
1757616575.4191427,2025-09-11 15:49:35.419,200,0.22
1757616575.440423,2025-09-11 15:49:35.440,200,0.22
1757616575.4718566,2025-09-11 15:49:35.471,200,0.22
1757616575.503234,2025-09-11 15:49:35.503,200,0.22
1757616575.534699,2025-09-11 15:49:35.534,200,0.22
1757616575.566286,2025-09-11 15:49:35.566,200,0.22
1757616575.587574,2025-09-11 15:49:35.587,200,0.22
1757616575.6191046,2025-09-11 15:49:35.619,200,0.22
1757616575.650575,2025-09-11 15:49:35.650,200,0.22
1757616575.6820166,2025-09-11 15:49:35.682,200,0.22
1757616575.7134619,2025-09-11 15:49:35.713,200,0.22
1757616575.734705,2025-09-11 15:49:35.734,200,0.22
1757616575.766286,2025-09-11 15:49:35.766,200,0.22
1757616575.7979243,2025-09-11 15:49:35.797,200,0.22
1757616575.8294148,2025-09-11 15:49:35.829,200,0.22
1757616575.8506799,2025-09-11 15:49:35.850,200,0.22
1757616575.8824296,2025-09-11 15:49:35.882,200,0.22
1757616575.9140794,2025-09-11 15:49:35.914,200,0.22
